,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,purity,ari,nmi,best_params
KMeans,100,0.0,0.22336894273757935,1.9518680487558866,238.28549659461203,0.7229,0.20871451023978135,0.6683157046495979,{'n_clusters': 100}
BisectingKMeans,100,0.0,0.16635163128376007,2.590197898449872,196.69066153577648,0.69332,0.22095988372897118,0.6428169618951561,{'n_clusters': 100}
HDBSCAN,250,0.30254,0.1034645289182663,1.445701146505855,63.434305679565114,0.65446,0.021939677885614527,0.5472400424999657,"{'min_cluster_size': 30, 'min_samples': 5}"
OPTICS,96,0.80216,-0.20262357592582703,1.2399667286601144,26.76594528276995,0.34668,-0.018957521987257045,0.22455972003023877,"{'min_samples': 30, 'max_eps': 0.5}"
BIRCH,619,0.0,0.18482600152492523,1.7756541804889567,62.15881846534377,0.78552,0.21714309070222756,0.6856826779866075,"{'threshold': 0.5, 'n_clusters': None}"
Supervised Baseline,363,0.0,0.0,,,0.868,0.9205737612547173,0.8688407094604569,LogisticRegression(Default)
