,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,purity,ari,nmi
KMeans,50.0,0.0,0.1377989500761032,2.5353805287483424,184.18686015821606,0.67126,0.2788928122984976,0.666731806356945
HDBSCAN,592.0,0.30968,0.06976502388715744,1.5177783860995675,18.18129959482596,0.68602,0.005899035293451705,0.5414766884815396
DBSCAN,779.0,0.29802,-0.011442478746175766,1.330067008038138,12.365946988214018,0.66544,0.2816079100637513,0.5727246100013811
