cluster_id,size,dominant_L3,dominant_count,second_L3,second_count,purity,top2_gap,top_L3_counts
7__Notebook Parts & Accessories,14,Notebook Parts & Accessories,14,,0,1.0,1.0,Notebook Parts & Accessories:14
45__Antivirus Security Software,13,Antivirus Security Software,13,,0,1.0,1.0,Antivirus Security Software:13
6__Notebook Parts & Accessories,9,Notebook Parts & Accessories,9,,0,1.0,1.0,Notebook Parts & Accessories:9
0__Chassis Components,5,Chassis Components,5,,0,1.0,1.0,Chassis Components:5
45__Software Licenses/Upgrades,3,Software Licenses/Upgrades,3,,0,1.0,1.0,Software Licenses/Upgrades:3
43__Software Licenses/Upgrades,3,Software Licenses/Upgrades,3,,0,1.0,1.0,Software Licenses/Upgrades:3
27__Tablets,2,Tablets,2,,0,1.0,1.0,Tablets:2
1__Flat Panel Spare Parts,1,Flat Panel Spare Parts,1,,0,1.0,1.0,Flat Panel Spare Parts:1
46__Antivirus Security Software,1,Antivirus Security Software,1,,0,1.0,1.0,Antivirus Security Software:1
42__TVs,1,TVs,1,,0,1.0,1.0,TVs:1
73__System Components,1,System Components,1,,0,1.0,1.0,System Components:1
11__PCs/Workstations,1,PCs/Workstations,1,,0,1.0,1.0,PCs/Workstations:1
75__System Components,1,System Components,1,,0,1.0,1.0,System Components:1
42__Signage Displays,1,Signage Displays,1,,0,1.0,1.0,Signage Displays:1
